,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2001,21,107,Hawaii,31,17,14,.548,6.89,7.25,8,8,13,5,2,8,2254,2265,102.5,.391,.298,.558,49.9,69.9,8.3,5.7,.520,20.4,33.8,.284,True,True,12
2001,22,109,Hofstra,31,26,5,.839,5.11,-5.47,16,2,12,1,11,2,2257,1929,103.5,.487,.304,.553,54.2,52.8,10.9,10.3,.524,20.0,36.4,.315,True,True,13
2001,23,110,Holy Cross,30,22,8,.733,-0.31,-5.84,10,2,13,1,9,6,2034,1868,101.1,.654,.270,.540,55.6,60.2,9.3,14.3,.493,21.4,39.9,.430,True,True,15
2001,24,117,Illinois,35,27,8,.771,23.32,11.38,13,3,13,0,7,4,2725,2307,108.4,.430,.331,.553,54.8,59.2,10.7,11.6,.514,17.5,38.4,.303,True,False,1
2001,25,119,Indiana,34,21,13,.618,17.58,11.05,10,6,13,2,4,6,2408,2186,100.8,.424,.264,.529,51.4,59.8,9.7,12.8,.500,17.9,31.5,.270,True,False,4
2001,26,118,Indiana State,34,22,12,.647,6.95,2.50,10,8,12,2,5,8,2479,2305,,.412,.317,.554,47.7,60.5,,7.1,.517,15.2,29.2,.291,True,True,13
2001,27,120,Iona,33,22,11,.667,0.25,-4.09,12,6,12,2,8,6,2549,2375,104.2,.434,.219,.557,51.4,52.7,10.6,13.0,.523,19.6,33.5,.299,True,True,14
2001,28,122,Iowa,35,23,12,.657,14.24,10.70,7,9,12,4,5,6,2593,2469,106.1,.564,.302,.540,54.7,58.2,7.8,6.6,.485,17.8,38.6,.397,True,True,7
2001,29,121,Iowa State,31,25,6,.806,15.90,4.87,13,3,16,0,6,4,2451,2115,109.6,.493,.251,.572,56.3,52.1,8.5,8.1,.527,17.9,36.2,.359,True,False,2
2001,30,129,Kansas,33,26,7,.788,20.23,9.03,12,4,14,1,8,4,2707,2286,110.2,.395,.233,.571,54.9,64.0,8.8,12.4,.548,18.3,38.7,.261,True,False,4
2001,31,130,Kent State,34,24,10,.706,8.69,1.44,13,5,10,2,7,5,2390,2117,108.3,.385,.269,.527,48.4,52.1,10.6,8.3,.476,13.2,34.0,.294,True,True,13
