"","School","G","W","L","W-L%","SRS","SOS","Tm.","Opp.","Pace","ORtg","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%","eFG%","TOV%","ORB%","FT/FGA","year","NCAABirth","END"
"571","Notre Dame ","30","20","10",".667","14.35","5.68","2338","2078","","108.0",".405",".323",".556","51.1","64.7","9.2","12.9",".524","17.1","34.7",".279",2001,"NCAA","Notre Dame "
"573","Ohio State ","31","20","11",".645","15.68","8.17","2206","1973","","105.8",".424",".269",".558","53.4","61.0","7.7","13.8",".522","19.2","37.5",".296",2001,"NCAA","Ohio State "
"575","Oklahoma State ","30","20","10",".667","10.81","4.70","2129","1936","","99.6",".446",".239",".532","52.3","52.9","11.3","9.8",".503","20.2","34.8",".282",2001,"NCAA","Oklahoma State "
"576","Oklahoma ","33","26","7",".788","15.54","5.48","2454","2122","","109.0",".347",".331",".547","51.9","51.7","12.5","7.9",".509","15.8","35.9",".257",2001,"NCAA","Oklahoma "
"582","Penn State ","33","21","12",".636","12.42","10.54","2535","2473","","106.4",".391",".386",".545","44.7","57.6","11.7","8.0",".496","14.9","28.4",".299",2001,"NCAA","Penn State "
"591","Princeton ","27","16","11",".593","-2.53","-1.88","1562","1569","","100.8",".302",".515",".568","46.2","70.9","11.6","7.8",".539","19.8","24.3",".219",2001,"NCAA","Princeton "
"592","Providence ","31","21","10",".677","13.74","5.44","2359","2049","71.6","106.2",".383",".344",".552","50.0","62.8","12.9","13.6",".514","17.9","36.0",".275",2001,"NCAA","Providence "
"605","Saint Joseph's ","33","26","7",".788","12.72","4.45","2625","2352","","110.2",".430",".381",".580","52.2","65.2","8.6","9.3",".549","17.5","33.5",".298",2001,"NCAA","Saint Joseph's "
"626","Southern California ","34","24","10",".706","16.53","10.83","2620","2420","","106.7",".447",".305",".553","51.6","57.2","10.5","11.0",".513","17.8","35.7",".315",2001,"NCAA","Southern California "
"630","Southern Utah ","31","25","6",".806","3.01","-3.42","2243","2015","","108.6",".420",".308",".584","50.9","59.0","15.5","9.6",".550","19.7","36.5",".300",2001,"NCAA","Southern Utah "
"637","Stanford ","34","31","3",".912","25.76","9.86","2829","2226","","119.4",".484",".315",".617","55.6","59.6","7.9","7.7",".579","16.0","35.8",".360",2001,"NCAA","Stanford "
"641","Syracuse ","34","25","9",".735","11.14","5.82","2475","2294","","104.3",".358",".272",".521","50.1","61.6","13.7","16.1",".482","15.7","35.2",".256",2001,"NCAA","Syracuse "
"642","Temple ","37","24","13",".649","16.20","9.77","2604","2366","","113.3",".310",".376",".523","50.1","44.9","11.7","12.9",".492","11.0","36.9",".217",2001,"NCAA","Temple "
"646","Tennessee ","33","22","11",".667","15.49","10.28","2668","2496","","106.9",".440",".352",".557","50.1","58.1","9.3","13.3",".524","18.1","34.3",".299",2001,"NCAA","Tennessee "
"658","Texas ","34","25","9",".735","14.25","8.89","2396","2211","","100.1",".420",".315",".502","50.4","50.5","11.2","14.0",".466","17.4","36.2",".273",2001,"NCAA","Texas "
"664","UCLA ","32","23","9",".719","17.13","12.06","2544","2382","","105.5",".426",".275",".543","51.7","51.4","10.3","10.5",".512","18.0","37.2",".282",2001,"NCAA","UCLA "
"665","Utah State ","34","28","6",".824","9.97","-1.50","2404","1959","","109.0",".423",".292",".570","52.9","60.0","10.0","11.1",".542","18.7","35.5",".285",2001,"NCAA","Utah State "
"674","Virginia ","29","20","9",".690","18.93","8.72","2464","2168","","112.7",".403",".295",".552","53.9","49.3","10.1","8.4",".510","15.2","39.5",".297",2001,"NCAA","Virginia "
"676","Wake Forest ","30","19","11",".633","20.53","10.50","2296","1995","","107.8",".336",".272",".546","50.7","55.5","10.3","11.6",".510","15.1","32.2",".244",2001,"NCAA","Wake Forest "
"685","Western Kentucky ","31","24","7",".774","8.67","-1.65","2303","1889","","108.2",".377",".338",".546","56.8","55.7","11.6","13.2",".513","17.7","40.8",".260",2001,"NCAA","Western Kentucky "
"689","Winthrop ","31","18","13",".581","-3.73","-7.80","2037","1917","","100.2",".394",".366",".512","52.2","51.3","11.0","7.5",".472","18.1","35.8",".271",2001,"NCAA","Winthrop "
"690","Wisconsin ","29","18","11",".621","14.90","12.08","1723","1641","","99.4",".421",".354",".532","50.3","62.3","9.9","7.7",".491","17.2","27.1",".296",2001,"NCAA","Wisconsin "
"694","Xavier ","29","21","8",".724","12.14","4.59","2130","1911","","104.4",".465",".355",".528","52.1","56.4","10.2","10.4",".481","17.1","37.2",".327",2001,"NCAA","Xavier "
"702","Alabama ","35","27","8",".771","16.93","7.67","2658","2334","","",".408",".339",".538","52.8","50.5","","5.6",".492","16.5","",".300",2002,"NCAA","Alabama "
"704","Alcorn State ","31","21","10",".677","-11.28","-14.18","2473","2374","","",".402",".237",".537","53.3","55.1","","6.4",".510","18.9","",".258",2002,"NCAA","Alcorn State "
"708","Arizona ","34","24","10",".706","16.93","12.49","2793","2642","","",".446",".336",".565","50.4","56.4","","4.6",".522","16.2","",".326",2002,"NCAA","Arizona "
"724","Boston College ","32","20","12",".625","8.95","5.91","2354","2257","","",".406",".329",".516","49.6","53.8","","5.8",".474","16.4","",".282",2002,"NCAA","Boston College "
"725","Boston University ","32","22","10",".688","-4.68","-7.81","2147","2047","","",".368",".321",".517","51.9","53.3","","4.8",".481","16.7","",".254",2002,"NCAA","Boston University "
"738","UC-Santa Barbara ","31","20","11",".645","5.55","-0.05","2066","1889","","",".411",".323",".560","52.6","65.5","","5.4",".514","18.6","",".310",2002,"NCAA","UC-Santa Barbara "
